salutations	salutoj
most records come from places where people were actively looking for lizards, which means that in places where there were no records there could still be lizards aplenty.  hence this current campaign of reptile-tracking.  we want to hear about as many places where these shy little lizards hang out as possible.  you are most likely to see lizards when they are basking on rocks, stone walls, logs or exposed sunny areas.  if you see one, send us the details location, type of habitat, nearby   plants, weather conditions, etc.	plimultaj raportoj venas el lokojkie oni aktive serĉis lacertojn,kio signifas, ke en lokoj kie neestas raportoj povas estis multajlacertoj.  tial la nuna kampanjo dereptilio-spurado.  ni volas aŭdipri kiel eble plej multaj lokoj kieloĝadas tiuj sinĝenaj etaj lacertoj.  oni plej ofte vidas lacertojn kiamili ripozas sur rokoj, ŝtonmuroj,ŝtipoj aǔ malkovritaj sunaj lokoj.  se vi vidus, sendu al ni ladetalojn: loko, speco de loĝloko,apudaj plantoj, veter-kondiĉoj, ktp.
fire	fajro
it's hot, it makes you sweat and it's not curry.	ĝi estas varma, ŝvitigas onin kaj ne estas kareo.  jes, estas fajro.
previously considered somewhat frightening, the amazing red stuff has become man's best friend. people across the world use it for cooking and scaring off wild animals.	antaŭe rigardita iom timiga, la mirinda ruĝaĵo jam iĝis la plej bona amiko de la homo.  tutmonde homoj uzas ĝin por kuiri, por varmiĝi kaj por timigi sovaĝajn bestojn.
"there's nothing new about fire," said norris nik, president of the hearth trust.  "you can find it all over the place - bush fires, lightning strikes and volcanoes, for example.  but the breakthrough has been introducing it to the home." ....	"estas nenio nova pri fajro," diris norris nik, prezidanto de la fajreja trusto.  "oni povas trovi ĝin ĉie - ekzemple, vepra fajro, fulmobato kaj vulkanoj.  sed la trarompo estas enkonduki ĝin en la hejmon." ...
"fire has lots of things going for it, the main one being that it gives us humans more control over our surroundings.  before, we depended on the sun for heat and light," enthused norris.  "now we can keep warm and dry wherever we are.  this not only spells an end to dark caves, but it means we can survive in cold places like eŭrope.  and if any ice age comes along we can just sit it out."	"la fajro havas multajn avantaĝojn, la ĉefa estas tio, ke ĝi ebligas nin homojn pli regi niajn ĉirkaŭajojn.  antaŭe ni dependis de la suno por varmo kaj lumo," entuziasmis norris.  "nun ni povas teni nin varmaj kaj sekaj kie ajn ni estas.  tio implicas ne nur la finon de mallumaj kavernoj, sed signifas ke ni povos travivi en malvarmaj lokoj kiel eŭropo.  kaj se venos ia glaciepoko, ni povos resti ĝis ĝia fino.
the drawings at nazca	80. la desegnaĵoj de naska
the gigantic cornplex of drawings on the earth at nazca, peru, are a unique phenomenon. the drawings have become famous throughout the world because of their size, variety and quantity.	la giganta komplekso de ter­desegnaĵoj en naska, peruo, estas unika fenomeno. pro sia grandeco, vario kaj multnombreco la desegnaĵoj famiĝas tra la tuta mondo.
although such drawings are known in other parts of the world, only in nazca was so much energy invested over many generations to draw hundreds of lines and shapes.	kvankam ter-desegnaĵoj estas konataj ankaŭ en aliaj mondpartoj, nur en naska oni investis tiom da energio dum multaj generacioj por desegni centojn da linioj kaj formoj.
the village of nazca is found in the desert plain between the pacific ocean and the andes. here and there rivers flow through the desert steppes and take water from the snowy peaks of the andes to the ocean.	la urbeto naska troviĝas en dezerta ebenaĵo inter pacifika oceano kaj la andoj. jen kaj jen riveroj trafluas la dezertan stepon, kiuj kondukas akvon de la neĝaj pintoj de la andoj al la oceano.
in the first millenium prehistoric cultures were active in the valleys beside these rivers. the nazca culture, which created the giant drawings existed between the 3rd and 9th centuries.	en la valoj apud tiuj riveroj viglis en la unua jarmilo prahistoriaj kulturoj. la naska kulturo, kiu kreis la gigantajn desegnaĵojn, ekzistis inter la tria kaj naŭa jarcentoj.
under the lnca empire ancient traditions disappeared. as a consequence, and because of the lack of writing, the source and aim of the drawings remain a mystery	sub la inkaa imperio malaperis la antikvaj tradicioj. sekve, kaj pro la manko de skribo, la fonto kaj celo de la desegnaĵoj restas mistero.
current crisis	kurento-krizo
60 million people in 18 of the 26 brazilian states suffered a blackout when the electricity system failed, 10th november 2009.	60 milionoj da homoj en 18 el la 26 brazilaj ŝtatoj spertis malheliĝon, kiam la l0an de novembro 2009 paneis la elektrosistemo.
the blackout lasted up to seven hours, depending on locality, and was caused by a breakdown at itaipu, the largest hydroelectric power station in the world. the power station operates on the river parana which flows from east to west in the southern region of brazil.	la malheliĝon, kiu daŭris depende de la loko ĝis sep horoj, kauzis paneo en itaipu, la plej granda hidroelektra centralo en la mondo. la centralo funkcias per la akvo de rivero parana, kiu fluas eloriente-okcidenten en la suda regiono de brazilo.
with 18 generators, ltaipu provides a quarter of all the electricity used in brazil, and almost all of that used in paraguay, which was also greatly affected by the breakdown ....	pere de 18 generatoroj, itaipu liveras kvaronon de la tuta elektro de brazilo kaj preskaŭ la tutan elektron de paragvajo, lando ankaŭ forte trafita de la paneo ....
the brazilian minister of mines and energy said that bad weather in the region of the power station had caused the catastrophe. lightning strikes there could damage delicate equipment. however, for no particular reason, some thought it was an attack on the power station's computer system.	la brazila ministro pri minoj kaj energio diris, ke kaŭzis la katastofon malbona vetero en la regiono de la centralo. tieaj fulmoj kapablis difekti delikatajn aparatojn. tamen sen apartaj kialoj kelkaj opiniis, ke temis pri atako kontraŭ la komputila sistemo ĉe la centralo.
there was no lack of jokes that the station was then under the control of homer simpson, the botcher in the us animation series.	ne mankis ŝerco, ke ltaipu estis tiam regata de homer simpson, la fuŝulo de usona animacia filmo.
honey	mielo
new zealand honey is more effective against bacteria than antibiotics.	novzelanda mielo pli efikas kontaŭ bakterioj ol antibiotikoj.
australian scientists have discovered that even the feared hospital multi­resistant "super bacilli" perish when they come into contact with honey from the flowers of the manuka tea tree from new zealand.	aŭstraliaj sciencistoj malkovris ke eĉ la malsanulejaj timataj multrezistaj     "superbaciloj" pereas kiam ili kontaktiĝas kun mielo el la floroj de la novzelanda manuka-teoarbo.
the antibiotics in general use are becoming less and less effective because the microbes quickly evolve defence mechanisms. in the manuka honey a breakdown product from sugar  strongly stresses the bacteria before they can develop any resistance.	la ĝenerale uzataj antibiotikoj montriĝas pli kaj pli senefikaj, ĉar la mikroboj rapide evoluigas defendo­meĥanismojn. en la manuka­mielo iu sukermalkomponaĵo  forte kaŭzas streson al la bakterioj antaŭ ol ili povas evoluigi rezistecon.
the discovery has increased the application of medicinal honey as an alternative to antibiotics. it is traded by the new zealand natural medicines company comovita under the brand name medihoney, and is already being used in the children's clinic at the university in bonn, germany.	la ekkono plialtigas la aplikadon de medicina mielo kiel alternativon al antibiotikoj. sub la merkatmarka nomo medihoney ĝin ofertas la novzelanda naturkuraca enterpreno comovita kaj jam uzas ĝin la infan-kliniko de universitato en bonn, germanujo.
comovita now wants to widen its product range to include a gel and plasters containing honey.	comovita nun volas plivastigi sian produktaĵ­paletron per elmiela vundoĝelo kaj vundoplastro.
braille	brajlo
in the paris "institute for the blind", founded in 1784 as the first such organisation in the world, the young louis braille learned to read in a complicated manner using letters in relief, but he himself couldn't write anything.	en la pariza "instituto por blinduloj", fondita en 1784 kiel unua tiuspeca organizo en la mondo, la juna louis braille komplikmaniere lernis legi helpe de grandaj reliefliteroj, sed ne povis mem skribi.
so he was all the more enthusiastic when one day captain charles barbier visited the school to present a kind of "night writing".	des pli li estis entuziasmigita, kiam unu tagon kapitano charles barbier vizitis la lernejon kaj prezentis ian "nokto­skribon".
in order to give commands to soldiers on dark nights unnoticed by the enemy, he had invented a complicated syllabic writing using dots and lines.	por doni ordonojn al soldatoj en malluma nokto nerimarkate de la malamikoj, li inventis komplikan silaban skribaĵon kun palpeblaj punktoj kaj strekoj.
as if possessed, louis worked for three years to simplify that system and make it useful and practical.	kvazaŭ obsede louis laboris tri jarojn por simpligi tiun sistemon kaj fari ĝin praktike uzebla.
in the year 1825 the basic form of the "writing for the blind", which today bears the name of braille, was ready. it codifies each letter with just six dots which can be impressed onto paper using a stylus, typewriter or computer, in such a way that they can then be felt by the fingertips.	en la jaro 1825 la baza formo de la "skribo por blinduloj" estis preta, kiu hodiaŭ portas la nomon de braille. ĉiujn literojn ĝi kodas per nur ses punktoj, kiujn oni pregas en la paperon, grifele, skribmaŝine aŭ komputile, tiumaniere ke oni povas palpi ilin poste per fingropintoj.
impress : technical term - give definitive form to an item  by pressing it very forcefully between a die and stamp.	pregi : teknika termino - doni definitivan formon al peco  premante ĝin per tre forta premo inter patrico kaj matrico
100 - a new political era	100 - nova politika erao
after 60 years, britain again has a coalition government. the general election, which took place in may, did not give a parliamentary majority to either the ruling labour party or the main opposition conservative party.	post 60 jaroj britio havas denove koalician registaron. tutlandaj elektoj, okazintaj en majo, liveris parlamentan plimulton nek al la reganta laborista partio nek al la ĉef­opozicia konservativa partio.
there followed four days of discussion, conjecture, proposals and counter- proposals, until it was finally announced that the new government would consist of a coalition between the conservative and liberal democrat parties.	sekvis kvar tagoj de diskutoj, konjektoj, proponoj kaj kontraŭproponoj, ĝis fine estas anoncite, ke la nova registaro konsistos el koalicio inter la konservativa partio kaj la liberal-demokrata partio.
in many european countries elections which don't result in clear one-party government are the norm. so are coalitions.	en multaj eŭropaj landoj normalas elektoj kiuj ne liveras klaran unupartian registaron. same normalas koalicioj.
in britain however, for more than half a century - apart from some informal agreements ­ either the labour or conservative party has ruled at national level without the help of a third, smaller party.	en britio, tamen, jam dum pli ol duonjarcento - krom kelkaj neformalaj interkonsentoj regis landnivele aŭ la laborista aŭ la konservativa partio sen helpo de tria pli malgranda partio.
britons are now amazed that candidates who sharply criticised each other during the election campaign now stand together as colleagues to present a common platform to the public.	britoj nun miras ke kandidatoj, kiuj akre kritikis unu la alian dum elekto­kampanjo, nur kelkajn tagojn poste kolege kaj kune staras por prezenti komunan platformon al la publiko.
platform technical term - programme  proposed for action	platformo teknika termino - programo  proponata por agado
vanished island	insulo malaperinta
in the bay of bengal, between india and bangladesh, was an island 3.5 km long and 3 km wide. india called it new moore, and bangladesh called it south talpatti.	en la golfo de bengalio apud barato kaj bangladeŝo troveblis insulo 3,5 km longa kaj 3,0 km larĝa. nomis ĝin barato nova moore kaj bangladeŝo suda talpatti.
for 30 years both states have been in dispute over sovereignty of the island.	jam de 30 jaroj disputis ambaŭ ŝtatoj pri suvereneco de la insulo.
now however disputation is superfluous. because of the rise in sea level the island simply no longer exists.	nun, tamen, superfluas disputado. pro la altiĝo de marnivelo la insulo simple ne plu ekzistas.
that was confirmed by professor sugata hazra, professor of maritime studies at the university of calcutta, based on satellite photographs.	tion konfirmis sugata hazra, profesoro pri marstudoj ĉe la universitato de kalkato, surbaze de satelitaj fotoj.
other countries too are threatened in the same way. the maldives, an archipelago in the indian ocean, will disappear under the sea if the world does nothing. last year president mohamed nasheed, wearing a diving suit, met with his cabinet 5 metres below the sea to draw attention to the problem.	ankaŭ aliaj landoj esta tiel minacataj. maldivoj, insularo en hinda oceano, malaperos sub la maro, se la mondo nenion faros. pasintjare la prezidanto de maldivoj, mohamed nasheed, portante skafandron, kunvenis kun sia kabineto kvin metrojn sub la maro por atentigi pri la problemo.
in nepal, where there are many people and few trees, it is feared that the glaciers are melting, which will cause a catastrophe in the country.	en nepalo, kie homoj multiĝas kaj arboj malmultiĝas oni timas ke glaciriveroj degelas, kio kaŭzos katastofon en la lando.
barat : ancient indian king, alternative name for india	barato : antikva hinda reĝo, alternativa nomo por hindio
zamenhof to soros	zamenhof al soros
"from zamenhof to soros" was the title of this year's symposium organized by the new y ork office of the universal esperanto- association.  this office organizes an annual public event on zamenhof day, the 15th of december.	"de zamenhof al soros" estis la titolo de la ĉi-jara simpozio organizita de la novjorka oficejo de uea. tiu oficejo ĉiujare organizas publikan aranĝon okaze de zamenhof-tago la 15-an de decembro.
the symposium was a historical overview of the beginning period of esperanto, organized in order to recognize two new books: the english language biography of zamenhof - a short version of the large biography written by a. korĵenkov two years ago ­ and the newly translated book by tivadar soros that was originally published in 1923.	temis pri historia trarigardo de la komenca periodo de esperanto, organizita por rekoni du novajn librojn: anglalingvan biografieton de zamenhof - mallongigitan version de la granda biografio verkita de a. korĵenkov antaŭ duo da jaroj - kaj nove tradukitan libreton de tivadar soros, kiu unue aperis en la jaro 1923.
renowned scholar esther schor, professor at princeton university, recognized the link with zamenhof in her discourse "zamenhof and the future" , where she examined the concept of the creator of esperanto regarding the future of humanity and the role of esperanto in this context.	la konata fakulino esther schor, profesoro ĉe la universitato princeton, rekonis la ligon kun zamenhof per sia prelego pri "zamenhof kaj estonteco", en kiu ŝi ekzamenis la koncepton de la kreinto de esperanto pri la estonteco de la homaro kaj la rolo de esperanto en tiu kunteksto.
urban foxes	urbaj vulpoj
among foxes in britain, who are not infected with rabies, since the second world war a tendency to urban life has been observed.	ĉe la vulpoj en britujo, kiujn ne infektas la rabio, jam ekde la dua mondmilito oni povas observi la tendencon al urba vivo.
in towns l0 to 20 foxes per square kilometre live among us - ten times more than in the countryside.	vivas en la urboj sur unu kvadratkilometro ĉe ni l0 ĝis 20 vulpoj - dekoble  pli ol en la kamparo.
most studied are the urban foxes in switzerland, whose numbers have grown fourfold since 1985. ten years ago zoologists, parasitologists and other researchers in zurich began the 'integrated fox project' which was concerned with studying all aspects of the foxes' life.	plej bone ekzamentitaj estas la urbovulpoj en svislando, kies nombro kreskis kvaroble ekde 1985. antaŭ dek jaroj zoologoj, parazitologoj kaj aliaj esploristoj en zuriko komencis la 'integran vulpo-projekton' kiu okupiĝis pri studado de aspektoj de vulpo-vivo.
while badgers and chamois have only dared enter the suburbs, around a thousand foxes have already settled in the centre of zurich. most foxes in zurich are not immigrants, but were born there.	dum la meloj kaj ĉamoj ĝis nun kuraĝas eniri nur la antaŭurbojn, jam ĉirkaŭ mil vulpoj setlis en la zurika centro. la plej multaj vulpoj en zuriko ne estas enmigrintoj, sed naskiĝis tie.
unlike rural foxes, who go around singly or in pairs, urban foxes live in large families. during the day they doze somewhere hidden.	alie ol kamparaj vulpoj, kiuj sole aŭ duope ĉirkauvojas, la urbo vulpo vivas en grandaj familioj. dumtage ili dormetas en iu kaŝejo.
if they show themselves, for many people that is a very enjoyable experience.	se ili sin montras, tio estas por multaj homoj tre ĝojiga afero.
